,text,target
0,not family-friendly. name is Alimentum. located city centre,"There is a place in the city centre, Alimentum, that is not family-friendly."
1,located city centre. not family-friendly. name is Alimentum,"In the city centre there is a venue name Alimentum, this is not a family-friendly venue."
2,not family-friendly. name is Alimentum. located city centre,"Alimentum is not a family-friendly place, located in city centre."
3,name is Alimentum. located city centre. not family-friendly,Alimentum is not a family-friendly arena and is located in the city centre.
4,name is Alimentum. not family-friendly. located city centre,Alimentum is not a family-friendly place in the city centre.
5,located city centre. not family-friendly. name is Alimentum,Alimentum in city centre is not a family-friendly place.
6,not family-friendly. is near Burger King. located city centre. name is Alimentum,"Alimentum is not family-friendly, and is near the Burger King in the city centre."
7,located city centre. not family-friendly. is near Burger King. name is Alimentum,Near Burger King in city centre is the adult establishment Alimentum.
8,name is Alimentum. not family-friendly. located city centre. is near Burger King,Alimentum is not family-friendly. Alimentum is in the city centre and it is near Burger King.
9,is near Burger King. name is Alimentum. not family-friendly. located city centre,Alimentum is near Burger King in the city centre. Alimentum is not family-friendly.
10,name is Alimentum. located city centre. not family-friendly. is near Burger King,"Near the Burger King and in the city centre is Alimentum, which is not family-friendly."
11,name is Alimentum. is near Burger King. not family-friendly. located city centre,Alimentum is an adult establish found in the city centre area near Burger King.
12,name is Alimentum. family-friendly. located city centre,Alimentum is a family-friendly place in the city centre.
13,name is Alimentum. located city centre. family-friendly,In the city centre there is a family-friendly place called Alimentum.
14,located city centre. name is Alimentum. family-friendly,The city centre has a family-friendly restaurant named Alimentum.
15,name is Alimentum. family-friendly. located city centre,Alimentum city centre is family-friendly
16,family-friendly. located city centre. name is Alimentum,Alimentum is a family-friendly city centre.
17,name is Alimentum. family-friendly. located city centre,There is a family-friendly restaurant named Alimentum in the city centre.
18,not family-friendly. is near Burger King. name is Alimentum. located city centre,Alimentum is family oriented and located near Burger King in the city centre.
19,name is Alimentum. is near Burger King. not family-friendly. located city centre,The Alimentum is a family-friendly restaurant located in the city centre near Burger King.
20,located city centre. not family-friendly. is near Burger King. name is Alimentum,"Located in the city centre near Burger King, the Alimentum is a family-friendly restaurant."
21,name is Alimentum. not family-friendly. located city centre. is near Burger King,"Alimentum, located near Burger King in the city centre, is family-friendly."
22,name is Alimentum. is near Burger King. not family-friendly. located city centre,"Located Burger King in the city centre, Alimentum is family-friendly."
23,located city centre. is near Burger King. not family-friendly. name is Alimentum,Alimentum is family-friendly and located in the city centre near Burger King.
24,not family-friendly. name is Alimentum. located riverside,Alimentum looks like a location where people or families aren't allowed
25,not family-friendly. located riverside. name is Alimentum,Alimentum isn't family-friendly but it is in riverside.
26,not family-friendly. located riverside. name is Alimentum,"If you are searching for a place to go that's not family-friendly and near the riverside, Alimentum is the place for you."
27,located riverside. not family-friendly. name is Alimentum,Alimentum is a family-friendly living in riverside.
28,name is Alimentum. not family-friendly. located riverside,Alimentum is a family-friendly living in riverside.
29,name is Alimentum. not family-friendly. located riverside,"Alimentum, located on the river. No good for families."
30,not family-friendly. located riverside. name is Alimentum,"Riverside has Alimentum, which is not family-friendly."
31,not family-friendly. located riverside. name is Alimentum,Alimentum is a not family-friendly place near the riverside.
32,located riverside. not family-friendly. name is Alimentum,"No good for families. Alimentum, close to the river."
33,is near Burger King. not family-friendly. located riverside. name is Alimentum,Burger King is near the Alimentum which is not family friendly and located north of the City centre.
34,is near Burger King. not family-friendly. name is Alimentum. located riverside,"Alimentum is a restaurant located in  riverside near Burger King, Alimentum is not a family-friendly restaurant."
35,is near Burger King. name is Alimentum. located riverside. not family-friendly,"Located off the river near Burger King, Alimentum does not allow families."
36,not family-friendly. name is Alimentum. is near Burger King. located riverside,Alimentum is a non-family-friendly establishment near Burger King at the riverside.
37,not family-friendly. name is Alimentum. located riverside. is near Burger King,"Alimentum is a great venue located in riverside near Burger King, is not a family-friendly restaurant."
38,name is Alimentum. is near Burger King. located riverside. not family-friendly,Alimentum at the riverside near Burger King is a non-family-friendly establishment.
39,name is Alimentum. located riverside. not family-friendly. is near Burger King,Not family friendly Alimentum across from Burger King
40,name is Alimentum. is near Burger King. not family-friendly. located riverside,"Alimentum, located near Burger King, is not family-friendly."
41,located riverside. name is Alimentum. is near Burger King. not family-friendly,Alimentum is located near Burger King in riverside. It is not family-friendly.
42,name is Alimentum. is near Burger King. not family-friendly. located riverside,Alimentum is not family-friendly. It is located near Burger King in riverside.
43,not family-friendly. is near Burger King. name is Alimentum. located riverside,Alimentum across from Burger King no kids
44,family-friendly. name is Alimentum. located riverside,A kid friendly venue named Alimentum is located on the riverside.
45,family-friendly. name is Alimentum. located riverside,"Alimentum, situated by the river, is child friendly."
46,name is Alimentum. located riverside. family-friendly,Alimentum is child friendly and is located by the river.
47,located riverside. family-friendly. name is Alimentum,Alimentum is a family friendly place in the riverside area.
48,name is Alimentum. family-friendly. located riverside,In the riverside area there is a restaurant that is kid friendly named Alimentum
49,located riverside. name is Alimentum. family-friendly,"For a children friendly establishment in the riverside area, try Alimentum."
50,name is Alimentum. located riverside. family-friendly,"The riverside restaurant, Alimentum is very child friendly and great for adults as well."
51,family-friendly. located riverside. name is Alimentum,Alimentum is a child-friendly venue located on the riverside.
52,located riverside. family-friendly. name is Alimentum,There is a family-friendly venue in the riverside area called Alimentum.
53,family-friendly. name is Alimentum. located riverside,At the riverside there is a friendly family place called Alimentum
54,family-friendly. name is Alimentum. located riverside,"Located in riverside area, Alimentum restaurant is a place to bring the whole family."
55,name is Alimentum. family-friendly. located riverside,There is a riverside restaurant called Alimentum which is child friendly.
56,family-friendly. name is Alimentum. located riverside,Alimentum can be found in riverside and is family friendly.
57,located riverside. name is Alimentum. family-friendly,"Being beside the river, Alimentum is a family friendly place."
58,name is Alimentum. located riverside. family-friendly,A family friendly place near the riverside is called Alimentum.
59,family-friendly. name is Alimentum. located riverside,"Visit Alimentum by the riverside, it is kids friendly."
60,located riverside. family-friendly. name is Alimentum,"For a riverside, child friendly environment visit the Alimentum."
61,name is Alimentum. located riverside. family-friendly,Alimentum is located near the riverside. It is child friendly.
62,located riverside. name is Alimentum. family-friendly,Alimentum in the riverside area is child friendly.
63,family-friendly. located riverside. name is Alimentum,"Alimentum, on the riverside, is family-friendly."
64,family-friendly. located riverside. name is Alimentum,Alimentum is a child friendly place on the riverside.
65,located riverside. name is Alimentum. family-friendly,There is child friendly restaurant in the riverside area named Alimentum.
66,located riverside. name is Alimentum. family-friendly,Alimentum is a child-friendly place on the riverside.
67,name is Alimentum. located riverside. family-friendly,The Alimentum is in the riverside area. It is a family friendly place.
68,name is Alimentum. located riverside. family-friendly,The Alimentum is kid friendly and is located in the riverside area.
69,family-friendly. located riverside. name is Alimentum,"On the riverside, there is a kids friendly venue called Alimentum."
70,located riverside. name is Alimentum. family-friendly,Alimentum is kid-friendly and is located at the riverside.
71,name is Alimentum. family-friendly. located riverside,On the riverside there is a child friendly place called Alimentum.
72,family-friendly. located riverside. name is Alimentum,"By the riverside you can find Alimentum, which is a family friendly place."
73,located riverside. name is Alimentum. family-friendly,In Riverside you will find the kid-friendly restaurant Alimentum.
74,name is Alimentum. family-friendly. located riverside,If you want to take the children for a meal then try Alimentum  they provide a child friendly service in their riverside setting .
75,name is Alimentum. located riverside. family-friendly,The Alimentum is in the riverside area. It is family friendly.
76,name is Alimentum. family-friendly. located riverside,"If you are looking for a kids Friendly establishment in the riverside area, try Alimentum."
77,name is Alimentum. family-friendly. located riverside,Located in the riverside area the Alimentum is kid friendly.
78,name is Alimentum. located riverside. family-friendly,"Located in the riverside area, Alimentum is child friendly."
79,located riverside. name is Alimentum. family-friendly,A kid friendly place in riverside is Alimentum.
80,family-friendly. name is Alimentum. located riverside,"Alimentum, located in the riverside area is kid friendly."
81,is near Burger King. not family-friendly. located riverside. name is Alimentum,You will find Alimentum a nice child friendly place. It is located near Burger King and riverside.
82,name is Alimentum. not family-friendly. is near Burger King. located riverside,"Alimentum is near Burger King and is not only riverside, but children friendly as well."
83,located riverside. not family-friendly. is near Burger King. name is Alimentum,Alimentum is a family friendly establishment in the riverside area near the Burger King.
84,located riverside. name is Alimentum. is near Burger King. not family-friendly,"Close-by to Burger King is Alimentum, a child-friendly restaurant by the riverside."
85,is near Burger King. located riverside. not family-friendly. name is Alimentum,There is a family friendly place Alimentum located near Burger King in riverside.
86,is near Burger King. not family-friendly. name is Alimentum. located riverside,Alimentum is a children-friendly spot near Burger King in Riverside.
87,name is Alimentum. not family-friendly. located riverside. is near Burger King,"Located near to Burger King on the riverside, Alimentum is a child friendly establishment."
88,is near Burger King. located riverside. not family-friendly. name is Alimentum,There is a kid-friendly restaurant in riverside near the Burger King named Alimentum.
89,located riverside. name is Alimentum. not family-friendly. is near Burger King,There is a kid friendly place in riverside near Burger King named Alimentum.
90,not family-friendly. name is Alimentum. is near Burger King. located riverside,"Alimentum is a family-friendly location in the Riverside area, near the Burger King."
91,name is Alimentum. located riverside. is near Burger King. not family-friendly,"There is a child friendly place called Alimentum by the riverside, near Burger King."
92,located riverside. not family-friendly. name is Alimentum. is near Burger King,Family friendly venue near the Burger King on the riverside is called Alimentum.
93,not family-friendly. located riverside. name is Alimentum. is near Burger King,Near the riverside is a kids friendly eatery called Alimentum. There is a Burger King close to it as well.
